SCHOOL_KEY,NETWORK,GOVERNANCE,ANNUAL_REGIONAL_ANALYSIS_REGION,COMMUNITY,REGION_ENCODED
1413,Network 2,District,Northwest Side,WEST RIDGE,4
1414,ISP,District,Greater Stockyards,NEW CITY,10
1416,Network 12,District,Greater Stony Island,GREATER GRAND CROSSING,7
1417,Network 11,District,South Side,AUBURN GRESHAM,1
1419,Network 1,District,Northwest Side,FOREST GLEN,4
1421,Network 8,District,Greater Midway,GAGE PARK,9
1422,Network 3,District,West Side,AUSTIN,2
1423,Network 1,District,Greater Milwaukee Avenue,IRVING PARK,13
1427,Network 1,District,Far Northwest Side,EDISON PARK,5
1429,Network 3,District,Far Northwest Side,BELMONT CRAGIN,5
1431,Network 8,District,Greater Stockyards,NEW CITY,10
1433,ISP,District,Greater Stockyards,BRIGHTON PARK,10
1434,Network 12,District,Greater Stony Island,SOUTH CHICAGO,7
1435,Network 8,District,South Side,NEW CITY,1
1436,ISP,District,South Side,ENGLEWOOD,1
1437,Network 8,District,Greater Stockyards,BRIGHTON PARK,10
1438,Network 9,District,Bronzeville / South Lakefront,KENWOOD,6
1439,Network 13,District,Greater Calumet,MORGAN PARK,8
1440,Network 6,District,Near West Side,NEAR WEST SIDE,12
1441,Network 12,District,Greater Stony Island,PULLMAN,7
1442,Network 1,District,Far Northwest Side,PORTAGE PARK,5
1443,Network 6,District,Near West Side,NEAR WEST SIDE,12
1444,Network 1,District,Northwest Side,NORTH PARK,4
1445,Network 3,District,West Side,AUSTIN,2
1446,Network 16,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1447,Network 10,District,Greater Midway,ASHBURN,9
1449,Network 13,District,Greater Calumet,ROSELAND,8
1451,Network 2,District,Northwest Side,WEST RIDGE,4
1452,Network 5,District,Greater Milwaukee Avenue,HUMBOLDT PARK,13
1453,Network 12,District,Greater Stony Island,SOUTH CHICAGO,7
1454,Network 5,District,West Side,WEST GARFIELD PARK,2
1455,Network 10,District,Far Southwest Side,BEVERLY,0
